repo,tag,sha
terraform-aws-modules/terraform-aws-iam,v3.0.0,514e1c26be7f197d866dc3b05e4233b09c61729f
terraform-aws-modules/terraform-aws-iam,v2.25.0,cf8f3cce448727c6fb2a4f39732ebd5bf614366f
terraform-aws-modules/terraform-aws-iam,v2.24.0,150ad8ab7314dbb707cc8babf3942c6cc797f2ca
terraform-aws-modules/terraform-aws-iam,v2.23.0,3daad079be91cf8a827e535783865fff4845f87a
terraform-aws-modules/terraform-aws-iam,v2.22.0,dfa5548255c169c47eddb015549d7045718f96cd
terraform-aws-modules/terraform-aws-iam,v2.21.0,d315f1f59a5fcbb10d7d51f2fdca9b3f33695799
terraform-aws-modules/terraform-aws-iam,v2.20.0,22cbe0b757733a976f5221192a7ee6dc3f64c6b2
terraform-aws-modules/terraform-aws-iam,v2.19.0,591bef48f7506a5e12059fc9b593cec9a799e597
terraform-aws-modules/terraform-aws-iam,v2.18.0,dec17783578b935e3465425ab171a033c9eb9259
terraform-aws-modules/terraform-aws-iam,v2.17.0,b5bf1cbd727b9590ae9b02df05dbb028ebe025ef
terraform-aws-modules/terraform-aws-iam,v2.16.0,2af9e387be7bba34c7e46108c228b56d8e58183b
terraform-aws-modules/terraform-aws-iam,v2.15.0,f0c037c4e533f3989859d413f5e558870967f6f3
terraform-aws-modules/terraform-aws-iam,v2.14.0,4b2a189ee53ea5ef257cf3ce5049491d573a080d
terraform-aws-modules/terraform-aws-iam,v2.13.0,e31c2cd621094969d234141a02f56abd69e65e7f
terraform-aws-modules/terraform-aws-iam,v2.12.0,d7520d59f8fbe0ab8989e1a5dcb7eaf636fb55d6
terraform-aws-modules/terraform-aws-iam,v2.11.0,2f530de37457764439b3d9a166d12fef9127f79f
terraform-aws-modules/terraform-aws-iam,v2.10.0,d9ed328d7bd9d13634e02262d9a218377d234911
terraform-aws-modules/terraform-aws-iam,v2.9.0,3b665db2b1494842753eb8f22329bd6fe6f16f93
terraform-aws-modules/terraform-aws-iam,v2.8.0,21544e119983c8a60ef00d9ebd11d5032b69f439
terraform-aws-modules/terraform-aws-iam,v2.7.0,47f586dddd3686f0787decaaad80b3a47bc409ed
terraform-aws-modules/terraform-aws-iam,v2.6.0,6c2919fd46e0e45c27e7c513b85c1d1388fdc3fd
terraform-aws-modules/terraform-aws-iam,v2.5.0,b6abf2551368bf16fd97967628a2816641f9f866
terraform-aws-modules/terraform-aws-iam,v2.4.0,38fc606f0cf4708964d846b5d9a81aff9448b30e
terraform-aws-modules/terraform-aws-iam,v2.3.0,698e30a75cdc891bfb4cff8a3f602792d69a08ae
terraform-aws-modules/terraform-aws-iam,v2.2.0,2f263e69e8d053e51365c68866b3940b4b85cf76
terraform-aws-modules/terraform-aws-iam,v2.1.0,8d92549fffefc3468a147aa0a7051d00a7fcc766
terraform-aws-modules/terraform-aws-iam,v2.0.0,6cd16cf69303cd9e155b6c71865bb1646e291820
terraform-aws-modules/terraform-aws-iam,v1.0.0,0df99e500b9b29285a9284254b2e09bc9586c152
terraform-aws-modules/terraform-aws-iam,v0.5.0,ca2372c8637fc9d932b3a46e81c1c83fa3cef298
terraform-aws-modules/terraform-aws-iam,v0.4.0,cd406ccc6ff10ac7c9b8297d96b0251327ba1989
terraform-aws-modules/terraform-aws-iam,v0.3.0,e8c695d38930e3ecd0f214bcddf02d7861f56066
terraform-aws-modules/terraform-aws-iam,v0.2.0,3c6333c91930c8a9bbc9cef011703c2619d89d9c
terraform-aws-modules/terraform-aws-iam,v0.1.0,fec4895c609ca6c19270eedca65a923d0f706c06
terraform-aws-modules/terraform-aws-iam,v0.0.7,8b04e3e3afd17e24bc9f7995db2692ad1229114c
terraform-aws-modules/terraform-aws-iam,v0.0.6,5e45e47cd2c1d6c997b771f1c976b082b0ef4acb
terraform-aws-modules/terraform-aws-iam,v0.0.5,eaf730b8f9b247f29ace0380e01d210d94776824
terraform-aws-modules/terraform-aws-iam,v0.0.4,76f6ee5dd25e925bbc935044daef3581e2fad3d5
terraform-aws-modules/terraform-aws-iam,v0.0.3,7504a11b1552ee85502f8d7df08d131f0a391f37
terraform-aws-modules/terraform-aws-iam,v0.0.2,0fd943f429ae9a94aa1c81388796b31bcec30153
terraform-aws-modules/terraform-aws-iam,v0.0.1,22f30d981f96a2ce0ff6e630e23629e12149ad3d
terraform-aws-modules/terraform-aws-vpc,v6.6.1,3ffbd46fb1c7733e1b34d8666893280454e27436
terraform-aws-modules/terraform-aws-vpc,v6.6.0,82d1929e669efef4e2ad00611b8a68e7a56e049c
terraform-aws-modules/terraform-aws-vpc,v6.5.1,cf73787bc163944d63a82e0898aee2bc7ade27ca
terraform-aws-modules/terraform-aws-vpc,v6.5.0,b3fb14ff51b6e6714b6edc97972267950b66cb50
terraform-aws-modules/terraform-aws-vpc,v6.4.1,e591dec8754230e1db644e4e89ca0c8d84485949
terraform-aws-modules/terraform-aws-vpc,v6.4.0,9b72a9ae8fbcdca4dec5535264e72e5357814a1f
terraform-aws-modules/terraform-aws-vpc,v6.3.0,efcac80b29439cc85578e5a2425c45c8c7e453e8
terraform-aws-modules/terraform-aws-vpc,v6.2.0,b62b28a28ad4ca86719e81e8d67abd46262175d9
terraform-aws-modules/terraform-aws-vpc,v6.1.0,41e2c230df5519c11c70721c02477b34eece5c94
terraform-aws-modules/terraform-aws-vpc,v6.0.1,a0307d4d1807de60b3868b96ef1b369808289157
