snapshot_date,id,namespace,name,provider,downloads,verified,source,published_at,latest_version,description
2026-07-13,sysadmiral/secgrouprule-cloudflare/aws/1.0.1,sysadmiral,secgrouprule-cloudflare,aws,7099,False,https://github.com/sysadmiral/terraform-aws-secgrouprule-cloudflare,2017-10-13T21:41:46.415569Z,1.0.1,Allow traffic from cloudflare to your origin by including this module
2026-07-13,kurron/security-groups/aws/0.11.0,kurron,security-groups,aws,7099,False,https://github.com/kurron/terraform-aws-security-groups,2019-02-14T18:06:37.783698Z,0.11.0,Terraform module that creates a set of common security groups
2026-07-13,Smartbrood/vpn/aws/0.5.0,Smartbrood,vpn,aws,7094,False,https://github.com/Smartbrood/terraform-aws-vpn,2017-11-13T17:59:14.381473Z,0.5.0,Terraform module to setup VPN
2026-07-13,indix/maintenance-lambda/aws/0.5.0,indix,maintenance-lambda,aws,7089,False,https://github.com/indix/terraform-aws-maintenance-lambda,2017-10-13T21:43:49.761637Z,0.5.0,"Terraform module to deploy aws-maintenance-lambda - A lambda function to send alerts (to Slack, HipChat) on AWS maintenance events."
2026-07-13,plus3it/watchmaker/aws/2.2.0,plus3it,watchmaker,aws,7088,False,https://github.com/plus3it/terraform-aws-watchmaker,2021-06-23T18:06:55.267458Z,2.2.0,Terraform module for Watchmaker
2026-07-13,kurron/alb/aws/0.9.3,kurron,alb,aws,7087,False,https://github.com/kurron/terraform-aws-alb,2017-11-23T01:38:53.196527Z,0.9.3,Terraform module that sets up an Application Load Balancer
2026-07-13,azavea/emr-cluster/aws/0.1.1,azavea,emr-cluster,aws,7085,False,https://github.com/azavea/terraform-aws-emr-cluster,2017-11-09T14:23:43.37251Z,0.1.1,A Terraform module to create an Amazon Web Services (AWS) Elastic MapReduce (EMR) cluster.
2026-07-13,trung/ec2-instance-simple/aws/0.0.1,trung,ec2-instance-simple,aws,7078,False,https://github.com/trung/terraform-aws-ec2-instance-simple,2017-10-13T21:44:40.028258Z,0.0.1,Provision fleet of EC2 instances distributed across subnets
2026-07-13,KoeSystems/route53/aws/0.1.1,KoeSystems,route53,aws,7077,False,https://github.com/KoeSystems/terraform-aws-route53,2017-10-13T21:44:56.226528Z,0.1.1,Terraform AWS Route53 module to create public hosted zones.
2026-07-13,Smartbrood/role-network/aws/0.12.0,Smartbrood,role-network,aws,7077,False,https://github.com/Smartbrood/terraform-aws-role-network,2017-11-14T13:50:41.431341Z,0.12.0,Terraform module/role (role means that module contains other modules) to create network related resources.
2026-07-13,zoitech/vpn/aws/0.0.1,zoitech,vpn,aws,7075,False,https://github.com/zoitech/terraform-aws-vpn,2019-02-14T17:51:48.338629Z,0.0.1,Terraform module which setup a static routed vpn connection.
2026-07-13,kurron/ecs-service/aws/0.0.4,kurron,ecs-service,aws,7074,False,https://github.com/kurron/terraform-aws-ecs-service,2017-11-26T16:34:59.833801Z,0.0.4,"Terraform module that realizes an ECS Task Definition, deploying it to a cluster"
2026-07-13,r4dx/jmeter/aws/1.0.1,r4dx,jmeter,aws,7069,False,https://github.com/r4dx/terraform-aws-jmeter,2018-01-03T09:12:26.884272Z,1.0.1,Easy way to create jMeter cluster with terraform on your AWS infrastructure.
2026-07-13,anugnes/ecs-scalable-cluster/aws/1.1.4,anugnes,ecs-scalable-cluster,aws,7068,False,https://github.com/anugnes/terraform-aws-ecs-scalable-cluster,2017-12-04T15:37:12.257227Z,1.1.4,Terraform module to deploy an Amazon ECS cluster using autoscaling groups
2026-07-13,Smartbrood/vpc/aws/0.6.0,Smartbrood,vpc,aws,7067,False,https://github.com/Smartbrood/terraform-aws-vpc,2017-12-16T19:56:00.911117Z,0.6.0,Terraform module to create VPC
2026-07-13,egarbi/public-ecs-service/aws/0.0.3,egarbi,public-ecs-service,aws,7060,False,https://github.com/egarbi/terraform-aws-public-ecs-service,2017-11-08T13:11:03.57546Z,0.0.3,
